City,State,Zip,Aspergillus flavus/oryzae,Aspergillus fumigatus,Aspergillus niger,Aspergillus ochraceus,Aspergillus penicillioides,Aspergillus restrictus*,Aspergillus sclerotiorum,Aspergillus sydowii,Aspergillus unguis,Aspergillus versicolor,Aureobasidium pullulans,Chaetomium globosum,Cladosporium sphaerospermum,Eurotium (Asp.) amstelodami*,Paecilomyces variotii,Penicillium brevicompactum,Penicillium corylophilum,Penicillium crustosum*,Penicillium purpurogenum,Penicillium spinulosum*,Penicillium variabile,Scopulariopsis brevicaulis/fusca,Scopulariopsis chartarum,Stachybotrys chartarum,Trichoderma viride*,Wallemia sebi,Acremonium strictum,Alternaria alternata,Aspergillus ustus,Cladosporium cladosporioides 1,Cladosporium cladosporioides 2,Cladosporium herbarum,Epicoccum nigrum,Mucor amphibiorum*,Penicillium chrysogenum,Rhizopus stolonifer,ERMI Score (Group I - Group II),Circulatory_loworreactivebloodpressure
Damascus,Oregon,97089-8860,0,20,24,2,0,35,0,0,0,31,220,11,10,250,12,66,570,13,0,1,5,2,2,1,4,54,8,33,3,0,0,0,2700,10,44,0,7.07,1
Corvallis,Oregon,97330,0,18,20,0,0,0,0,0,0,7,2418,0,10,135,67,203,10,23,4,95,6,3,11,0,50,7,12,2,0,0,0,0,15750,56,12,7,7.8,0
Cranberry Township,Pennsylvania,16066,0,9,13,22,418,0,7,0,0,0,171,10,9,3165,0,298,0,0,0,0,0,0,4,0,11,17,4,13,0,296,5,24,128,6,16,0,9.6,0
Uniontown,Pennsylvania,15401,0,2,49,2,420,13,3,5,0,290,180,2,32,330,0,3,8,2,0,0,4,2,7,2,0,390,9,18,9,220,7,130,220,8,39,0,9.28,0
Denver,Pennsylvania,17517,2,1100,6,52,6300,440,22,24,2,590,540,210,310,650,5,41,1100,100,13,0,63,39,42,1,56,1300,57,990,1,2900,32,3400,1100,39,15,0,27.68,0
Pittsburgh,Pennsylvania,15214,1,1,110,3,300,15,5,430,19,950,460,150,70,4100,53,11,260,220,1,1,4,19,2,71,19,290,27,4,7,370,35,620,100,12,6500,140,20.53,1
philadelphia,Pennsylvania,19106,7,3,40,0,81,7,0,51,0,19,130,1,9,50,1,11,2,12,0,0,12,0,1,0,0,67,57,1,0,360,2,380,56,1,37,1,8.25,0
Jenkintown,Pennsylvania,19046,0,1,4,0,18,0,1,4,0,39,27,1,5,43,5,270,0,120,0,0,1,0,0,0,0,6,5,13,0,77,2,35,13,2,320,180,2.08,0
DEVON,Pennsylvania,19333,1,15,65,20,0,3,3,0,0,26,130,8,170,150,20,74,58,4,0,0,15,2,3,1,0,61,17,300,4,0,0,0,250,71,36,1,6.57,0
New Kensington,Pennsylvania,15068,1,3,570,0,0,5,0,6,0,110,130,4,9,190,0,9,13,16,0,0,4,1,6,3,1,100,1,82,0,0,0,0,180,48,110,0,5.63,0
Pittsburgh,Pennsylvania,15222,0,7,117,0,0,4,0,0,0,0,210,8,6,273,0,38,37,8,0,0,8,0,0,0,17,6,0,3,0,0,0,0,104,9,21,0,8.9,1
Lewistown,Pennsylvania,17044,8,21,7500,22,0,560,10,5,6,1000,3400,5,650,790,9,230,2500,250,110,4,830,9,200,2,92,750,23,430,1,0,0,0,500,32,290,8,30.58,1
Downingtown,Pennsylvania,19335-4135,0,3,230,100,0,10,1,0,3,120,190,46,170,210,14,14,54,110,0,0,5,110,5,1,8,180,48,8,6,0,0,0,320,160,71,1,15.58,0
Boiling Springs,Pennsylvania,17007-9415,2,6,45,4,0,0,15,12,0,460,970,8,77,612,6,18,6,0,4,0,7,4,5,0,2,49,18,57,4,0,0,0,981,44,171,0,9.1,1
Shippensburg,Pennsylvania,17257,0,5,632,9,0,25,10,58,12,146,701,22,38,4368,14,1123,50,0,11,0,266,7,4,0,4,57,11,26,10,0,0,0,868,13,45,0,22.2,0
Woodlyn,Pennsylvania,19094-1013,10,23,198,38,0,11,118,133,8,130,1087,26,95,588,48,167,53,84,27,2,116,581,8,0,268,840,153,14,17,0,0,0,339,271,115,15,26.4,1
Folsom,Pennsylvania,19033-2211,10,80,213,14,0,16,5,31,6,0,3921,10,75,485,92,279,156,156,7,0,10,28,9,0,24,47,43,158,157,0,0,0,5738,45,11,3,15.0,0
Folsom,Pennsylvania,19033-2211,10,80,213,14,0,16,5,31,6,0,3921,10,75,485,92,279,156,156,7,0,10,28,9,0,24,47,43,158,157,0,0,0,5738,45,11,3,15.0,0
Downingtown,Pennsylvania,19335-2031,0,600,89,0,0,122,170,0,2,0,162,10,794,42,17,63,5,0,12,0,36,2,198,21,21,212,2335,306,0,0,0,0,4870,82,155,4,7.2,0
Carlisle,Pennsylvania,17013-1604,3,23,3087,25,0,36,33,0,0,62,20813,57,598,1300,38,472,23,64,92,5,9,24,20,12,262,256,110,635,3,0,0,0,12259,181,204,10,22.1,0
Phoenixville,Pennsylvania,19460,0,6,52,9,0,3,7,0,7,44,569,55,26,203,45,28,45,0,0,0,24,0,4,2,31,11,3,25,107,0,0,0,877,37,29,0,11.9,0
Huntingdon Valley,Pennsylvania,19006-4719,0,4,5,0,0,0,0,0,0,0,89,9,53,86,28,6,15,0,0,0,5,0,0,0,0,9,0,3,31,0,0,0,55,3,37,0,5.6,0
Saint-Zotique,Quebec,J0P 1Z0,3,25,127,0,0,12,0,0,0,50,10556,13,59,269,0,134,26,8,28,7,3,5,5,7,17,48,14,75,0,0,0,0,770,17,20,4,13.8,0
Wakefield,Quebec,J0X 3G0,0,0,7,0,0,0,0,11,8,9,9,4,3,44,0,0,0,2,0,0,2,0,0,1,6,2,70,3,0,0,0,0,4,2,2,0,2.84,0
Moose Jaw,Saskatchewan,S6H 3R7,6,10,383,57,0,23,42,25,7,27089,3081,15,50,4217,14,477,108,44,18,2,57,35,208,53,9,388,117,226,34,0,0,0,143,72,4054,0,27.9,0
Abbeville,South Carolina,29620,9,8,83,12,480,52,4,66,32,126,24374,63,370,3778,41,281,169,39,0,0,145,4,10,0,160,184,16,57,4,2613,80,112,7313,198,394,2,23.7,0
Starr,South Carolina,29684,0,25,965,14,0,79,0,41,0,478,4125,57,305,3482,3,110,120,69,0,0,100,19,133,3,313,99,35,55,2,0,0,0,922,4147,48,0,23.1,0
Charleston,South Carolina,29407,2,6,63,4,0,20,59,0,0,0,851,13,73,79,3,89,0,0,2,0,16,0,4,4,11,15,3,11,4,0,0,0,243,51,0,0,13.6,0
Charleston,South Carolina,29412-4545,1,6,33,0,0,6,0,351,26,27,32,0,84,0,0,10,25,1,0,0,0,0,0,10,1,3,1481,0,0,0,0,0,2323,0,0,0,-2953.0,0
Ooltewah,Tennessee,37363,0,109,21,89,607,114,201,0,0,2780,12,13,1679,13,33,46,56,0,31,0,152,3,330,330,24,2130,1062,178,0,5256,61,279,984,51,619,0,18.0,1
Hendersonville,Tennessee,37075,2,1,7,0,130,48,3,4,1,160,130,0,960,290,13,4,1,0,0,0,6,0,1,0,0,130,3,300,0,840,19,710,630,170,1,8,4.43,0
Nashville,Tennessee,37206,1,85,36,6,520,8,0,10,4,33,680,2,1100,210,4,25,130,12,0,0,45,2,4,15,26,53,38,310,1,6400,64,960,1200,25,130,56,10.54,0
Maryville,Tennessee,37803,0,2,101,0,77,4,0,0,0,32,326,0,118,108,14,44,14,0,3,0,4,0,3,0,37,36,7,11,0,1007,29,13,341,261,9,0,8.0,0
Goodlettsville,Tennessee,37072-7147,8,4,37,28,0,29,74,9,0,142,1416,5,164,1065,12,114,223,0,6,0,41,2,14,0,49,28,29,93,4,0,0,0,2157,107,18,0,17.3,1
Corey Court,Tennessee,TN,0,0,0,0,0,0,3,0,0,0,3059,0,36,11,5,6,0,0,0,0,0,0,0,0,6,8,0,38,0,0,0,0,2738,106,3,0,-1.6,0
,Tennessee,38224,7,8,320,15,0,130,13,930,2,3600,280,17,300,880,6,48,10,260,1,1,100,3,8,36,3,1100,28,570,5,0,0,0,610,17,15,1,25.06,0
Franklin,Tennessee,37064,0,3,219,0,0,5,3,0,0,240,325,6,48,261,34,153,3,11,0,0,7,0,3,3,16,20,21,13,0,0,0,0,2059,24,77,0,10.5,0
Nashville,Tennessee,37205,43,8,140,0,0,73,3,0,0,24,3106,7,396,3234,34,210,251,8,2,0,13,12,6,0,66,29,21,144,12,0,0,0,1089,54,18,0,16.3,0
Fayetteville,Tennessee,37334,3,9,51,2,0,40,0,8,3,1800,48,1,26,310,2,27,0,0,0,0,37,0,14,1,0,500,36,120,0,0,0,0,2000,14,5,37,7.7,0
conroe,Texas,77304,11,22,15,0,716,8,39,0,0,0,1842,5,0,241,21,7,0,0,4,0,9,0,4,0,40,31,2,139,8,4685,3,53,1016,25,14,0,7.7,0
New Braunfels,Texas,78130,42,7,473,12,520,46,67,38,18,39,7934,70,1466,2394,20,605,346,24,14,0,167,9,42,8,53,61,29,187,48,17929,88,89,209,75,237,6,26.6,0
San Antonio,Texas,78249,4,0,171,4,282,3,0,0,6,0,2573,19,116,101,0,292,0,209,5,0,3,0,2,2,9,7,0,789,23,2067,69,70,894,37,24,4,6.5,0
Fortworth,Texas,76177,2,0,48,0,19,0,0,0,0,100,392,0,7,33,3,17,0,0,0,0,0,0,0,0,7,4,0,8,0,151,0,5,43,9,0,0,7.1,0
Austin,Texas,78704,66,35,108,6,6179,2,0,52,3,65,3813,5,312,1234,31,29,5,5,1,0,6,9,1,1,111,10,849,5,6,9773,19,99,9018,0,16,1,18.1,0
austin,Texas,78748,0,0,0,0,1,0,0,0,0,0,16,0,0,5,6,0,0,4,0,0,1,0,3,0,0,0,0,4,2,7,0,260,3,0,0,0,-0.88,0
Austin,Texas,78732,0,0,0,0,203,0,0,0,0,0,233,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,251,0,3,31,0,0,0,0.6,0
Hewitt,Texas,76643,45,6,109,7,463,6,5,0,0,0,5927,0,270,333,4,5,0,0,5,0,5,5,6,0,7,20,13,1810,3,26,14,531,2191,13,0,0,6.9,1
Newton,Texas,75966-6305,8,26,94,190,1400,2300,12,31,3,980,920,24,1700,3200,59,30,7,26,1,1,140,5,17,0,20,2200,52,1300,4,9300,110,260,4200,230,97,10,21.6,0
Newton,Texas,75966-6305,5,4,21,8,670,251,1,19,0,35,2100,13,3100,4700,5,34,0,30,11,0,6,4,6,0,4,440,39,420,0,6700,120,300,7500,130,79,1,11.82,0
Temple,Texas,Temple,63,3,235,0,318,3,3,7,0,28,4224,4,104,154,10,18,0,0,18,0,10,28,5,0,17,81,6,1113,0,7085,14,375,14511,13,10,0,10.8,0
Austin,Texas,78741-3709,5,6,399,10,296,7,17,16,3,218,1536,3,1206,387,55,68,66,0,8,0,116,3,122,2,36,43,12,54,12,3312,8,70,128,7,39,0,22.7,0
Dallas,Texas,75214-4006,18,6,312,9,9552,107,15,34,143,33,7783,76,940,8430,46,96,1949,5,7,0,211,4,16,16,42,243,2,180,165,3189,6,490,1038,30,232,0,18.7,0
West Lake Hills,Texas,78746-3432,0,0,319,12,0,6,13,0,0,0,13130,12,1505,172,20,0,14,6,8,0,61,0,0,17,9,18,0,492,21,0,0,0,1456,14,51,0,10.8,0
Austin,Texas,78759-6906,68,4,1057,53,0,4,45,3,4,70,9898,30,716,746,215,204,29,35,0,0,59,24,13,20,38,71,7,363,51,0,0,0,2340,159,168,44,21.0,0
Houston,Texas,77057-1617,0,3,9,1,0,5,0,4,2,0,41,110,44,110,3,1,3,8,0,0,6,0,0,0,0,46,0,30,1,0,0,0,14,1,200,0,7.56,0
Austin,Texas,78727-6628,4,9,185,9,0,6,0,30,5,249,10395,3,227,209,6,38,145,0,9,0,6,94,0,0,341,22,10,763,3,0,0,0,780,34,3,0,16.3,0
Highland Village,Texas,75077-1827,0,10,541,23,0,6,8,0,0,0,4503,3,239,510,249,48,0,0,14,0,33,0,80,0,3,97,18,98,14,0,0,0,158,19,109,0,13.7,0
Midland,Texas,79706-1720,0,0,382,0,0,0,0,0,0,0,2984,0,2,256,6,0,0,0,0,0,0,0,0,0,87,4,0,446,4,0,0,0,110,14,6,0,0.8,0
MASON,Texas,76856,12,3,38,5,0,4,9,45,0,69,1682,5,100,145,5,10,0,19,0,0,9,0,0,0,3,790,5,117,7,0,0,0,413,28,111,0,11.5,0
Tyler,Texas,75701-8243,22,5,184,0,0,30,19,34,41,59,4097,15,235,318,11,192,505,10,12,3,70,12,3,14,2839,162,18,123,69,0,0,0,771,95,38,3,24.5,1
Aledo,Texas,76008,7,0,84,0,0,0,0,0,0,0,1086,0,71,269,8,54,0,7,0,0,4,0,0,0,11,28,0,114,0,0,0,0,338,11,4,2,6.0,0
Austin,Texas,78745-3793,7,4,8,2,0,4,5,15,15,0,2478,2,50,143,12,14,6,0,2,3,9,0,2,0,26,26,3,65,3,0,0,0,146,4,12,0,12.3,0
Aubrey,Texas,76227,0,0,0,0,0,0,0,0,0,45,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,215,0,0,0,0,0,0,0,0,0,0,14.0,1
Spring,Texas,77389-1556,6,2,77,0,0,5,29,3,0,72,473,5,266,1477,41,45,14,22,0,0,11,19,0,3,38,138,5,21,30,0,0,0,885,422,185,0,15.4,0
Pflugerville,Texas,78660,6,0,176,0,0,0,0,0,0,0,1181,0,53,614,0,70,0,5,0,0,0,0,0,0,7,5,4,385,0,0,0,0,3887,10,6,0,1.8,0
Bulverde,Texas,78163,0,0,3,0,0,0,0,0,0,0,441,0,39,107,0,283,0,0,0,0,0,0,0,0,14,9,9,29,0,0,0,0,446,4,3,0,2.3,0
Austin,Texas,78757,16,5,173,1,0,0,1,0,1,0,103,18,72,205,12,5,3,0,3,0,2,2,2,1,3,3,159,2,11,0,0,0,1094,3,10,1,4.3,0
San Antonio,Texas,78204-2408,5,0,123,10,0,0,0,0,83,0,1172,4,66,194,10,8,2,0,2,0,13,0,4,4,39,34,2,180,4,0,0,0,378,10,0,0,10.8,0
Plano,Texas,75025-3446,33,2,225,6,0,4,2,23,0,24,4528,17,226,286,7,28,39,0,2,0,5,0,3,2,24,37,3,628,11,0,0,0,1298,8,12,0,12.6,0
Converse,Texas,78109,9,4,278,5,0,0,0,1149,0,0,2668,2,197,132,1787,98,4,158,5,0,13,0,0,0,14,101,3,264,41,0,0,0,1989,178,50759,3,9.2,0
Johnson City,Texas,78636,25,2,522,9,0,3,30,13,7,29,1548,21,564,491,18,56,0,8,7,0,7,13,41,4,64,64,17,341,4,0,0,0,456,19,232,0,17.9,0
Austin,Texas,78717,4,6,549,211,0,3,0,0,0,0,20884,0,370,256,4,15,3,0,0,5,3,0,4,2,24,28,13,955,0,0,0,0,3663,14,4,0,8.4,0
New Braunfels,Texas,78132,8,7,94,0,0,7,13,25,0,634,778,23,178,644,4,56,0,0,7,0,34,34,34,0,23,43,12,171,12,0,0,0,1272,20,57,0,15.3,0
Flower Mound,Texas,75028,24,2,19,6,0,0,8,4,6,0,1374,3,80,293,9,15,0,11,0,0,12,0,2,11,8,15,3,542,4,0,0,0,1936,79,28,107,4.1,0
Austin,Texas,78747-1925,6,0,86,0,0,0,4,0,0,0,514,3,60,29,0,4,0,0,3,0,3,0,5,0,10,15,4,175,0,0,0,0,619,3,2,0,4.9,0
Boerne,Texas,78006,10,9,86,3,0,92,23,21,0,196,1346,17,422,3712,5,25,0,0,3,0,12,14,5,11,28,298,6,255,38,0,0,0,961,17,254,0,16.0,0
South Jordan,Utah,84095,3,8,1018,3,87,0,10,0,0,0,699,0,0,313,6,31,15,0,25,3,13,20,12,2,5,22,5,16,3,399,26,1024,103,68,17,3,9.3,0
Riverton,Utah,84065,0,0,632,0,223,0,0,0,0,0,1551,0,0,512,33,31,3,59,0,0,6,9,0,0,7,22,8,68,38,483,6,805,120,4,3,0,6.4,0
West Jordan,Utah,84081-5085,0,6,42,0,0,0,0,0,0,0,1655,0,26,97,0,17,0,54,0,0,0,7,0,0,0,5,0,8,0,0,0,0,108,15,32,0,3.1,1
Winooski,Vermont,5404,1,38,110,2,510,21,4,0,0,61,190,2,73,400,6,49,470,320,13,1,20,3,5,0,1,500,77,22,1,1500,40,1400,240,110,150,6,12.78,1
Westford,Vermont,5494,0,0,3,0,0,6,0,0,0,0,4,0,24,2,1,0,0,0,0,36,0,0,4,0,0,5,0,0,0,0,0,0,1,0,0,0,6.396,0
Virginia Beach,Virginia,23456,0,5,11,17,233,0,0,18,0,0,1914,7,99,174,4,29,10,0,0,0,12,0,3,0,32,74,22,14,4,976,21,21,587,136,21,0,8.1,0
Henrico,Virginia,23233,0,120,190,15,2700,100,0,0,9,1200,470,47,1500,530,130,10,80,22,0,0,64,2,1,12,3,4300,38,480,8,2300,140,980,1200,11,240,0,18.73,0
Linden,Virginia,22642,35,6812,2560,108,3212,152,34,143,11,968,3252,128,251,2149,142,246,32,28,5,3,455,385,84,2,183,320,101,111,0,7965,167,340,406,264,28,17,36.1,0
Bridgewater,Virginia,22812,3,13,510,46,1414,53,119,0,0,97,3887,54,2847,2974,39,285,18,673,289,6,29,31,54,60,177,341,171,57,230,3455,65,1148,1493,272,32,7,27.0,0
Portsmouth,Virginia,23703,8,3,32,2,230,13,4,84,1,100,150,45,360,190,0,4,59,32,1,0,1400,1,5,2,5,64,7,35,28,480,46,2000,310,21,49,1,13.41,1
falls Church Va,Virginia,22042,8,21,220,44,2948,51,61,259,88,426,3029,156,411,3539,59,195,241,37,27,11,261,13,21,131,83,248,39,38,294,2147,66,175,1417,450,811,31,30.5,0
Midlothian,Virginia,23112,0,119,4,0,125,0,7623,214,0,6299,22,475,130,9,121,5,0,0,0,0,299,0,309,211,78,65,656,45,7,1885,50,115,220,305,48,0,16.8,1
Arlington,Virginia,22206,0,0,33,0,22,8,0,3,0,6,520,1,6,44,2,1,120,2,0,0,2,1,0,0,0,200,0,10,0,99,2,18,13,4,8,0,8.27,0
Charlottesville,Virginia,22902-5437,0,3,42,35,261,0,32,52,5,0,85759,16,283,1398,367,1631,101,22,0,0,185,10,6,0,10,20,25,114,1397,3266,69,437,10963,243,327,6,12.8,0
Charlottesville,Virginia,22902-5437,0,0,62,4,0,9,0,0,0,0,1033,4,95,617,0,208,0,1195,5,0,8,604,0,0,16,27,13,120,0,0,0,0,2041,27,34,0,11.5,0
Aldie,Virginia,20105-6218,53,7,197,0,0,17,0,1148,30,144,3102,0,56,24193,16,59,0,7,31,0,10,3,0,0,5,34,17,125,3,0,0,0,3862,114,15,0,16.9,0
Ashburn,Virginia,20147-4431,1,10,110,4,0,6,1,0,1,5,450,7,240,97,2,3,2,7,1,0,1,0,4,3,0,55,19,130,1,0,0,0,400,5,43,1,2.89,0
Mechanicsville,Virginia,23116,0,17,30,0,0,0,0,17,0,114,2272,346,273,82,19,26,33,53,5,0,38,5,5,3,34,21,13,22,16,0,0,0,1949,15,4,0,14.7,0
Richmond,Virginia,23231-1207,5,43,520,0,0,2,0,24,1,11,960,9,350,280,22,43,3,62,0,0,14,2,0,1,2,230,170,23,5,0,0,0,940,51,110,3,9.02,0
Centreville,Virginia,20121,0,0,12,0,0,41,9,20,8,258,2602,2,93,252,4,20,110,0,0,0,9,3,0,0,26,53,4,25,0,0,0,0,748,34,51,0,12.2,0
Richmond,Virginia,23235-6202,44,46,1048,52392,0,44,68,19827,587,59639,863,8934,156,14018,1448,442,152,349,6,6,251,3033,57148,4,510,552,103,15,2869,0,0,0,250,1898,14060,0,47.6,0
Chesapeake,Virginia,23320-2955,6,20,206,19,0,20,27,11,0,179,1076,15,209,793,9,182,164,83,4,0,215,4,0,0,68,45,22,75,0,0,0,0,812,151,6,0,20.2,0
Lynchburg,Virginia,24503-3857,0,0,86,0,0,0,0,0,0,0,0,174,0,0,3366,0,0,0,0,1429,569,0,6,6,0,1860,0,0,81,0,0,0,22,476,0,0,14.0,0
Lynchburg,Virginia,24503-3857,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0
Ashburn,Virginia,20148,2,30,48,1,0,12,4,3,0,13,6400,7,140,110,6,150,0,12,0,0,18,3,2,3,30,200,3400,320,2,0,0,0,6800,49,26,0,4.65,0
Shoreline,Washington,98177,3,50,195,0,227,223,0,0,16,28,1218,6,3,219,22,619,190,971,0,0,0,3,5,0,38,11,18,3,0,6129,380,1211,922,50,76,11,13.0,0
Bonney lake,Washington,98391,33,12,276,0,185,77,0,0,0,106,1945,4,27,2011,4,390,250,24,63,0,0,19,0,28,14,34,25,4,0,3844,136,85,1191,76,63,0,17.7,0
Puyallup,Washington,98373,1,53,2300,2,340,170,0,0,0,70,810,5,15,4500,6,330,110,370,89,4,11,18,3,5,25,130,37,7,1,2700,130,1700,180,43,380,38,18.64,0
Seattle,Washington,98125,0,1,11,0,3,1,0,0,0,10,20,0,0,52,2,8,2,250,0,0,1,0,1,3,0,34,7,1,0,410,7,700,290,40,1100,3,-3.29,0
Vancouver,Washington,98682,0,11,23,0,1600,15,0,0,0,120,250,1,9,1400,15,71,140,160,0,0,1,1,2,3,3,140,12,6,0,1100,730,1200,200,220,88,4,8.13,1
Lynnwood,Washington,98037,0,3,23,0,51,10,0,0,0,21,38,2,0,210,8,8,210,36,0,0,1,0,0,3,0,180,1,0,0,200,5,170,25,16,190,2,8.08,0
Lynnwood,Washington,98087,0,1,170,0,33,200,0,0,0,130,150,21,13,130,0,46,17,19,0,0,1,0,5,5,1,28,8,15,0,2100,80,720,90,9,120,13,5.65,0
Veradale,Washington,99037,0,5,110,0,170,0,0,0,0,10,2200,18,4,360,1,10,7,200,0,0,6,39,13,5,0,57,0,22,0,240,3,5700,130,7,780,0,10.01,0
Bellingham,Washington,98226,0,110,31,0,16,0,0,0,0,0,4950,0,3,631,0,116,0,109,0,0,4,4,0,2,29,12,9,8,0,1758,96,749,2823,40,10,6,3.1,0
West Richland,Washington,99353-7420,0,3,3400,160,0,16,0,9,0,280,130,150,2,100,30,76,2,530,4,2,25,9,0,73,4,8,5,52,8,0,0,0,39,3,660,30,14.27,1
,Washington,98033,0,20,1500,0,0,20,0,7,4,71,200,2,4,63,0,50,4,180,0,0,0,0,3,4,5,0,6,0,0,0,0,0,4,21,89,0,11.17,0
Renton,Washington,98059,0,17,25,0,0,17,0,0,0,0,3247,0,7,582,0,256,102,9,0,0,2,0,0,0,11,84,0,2,0,0,0,0,923,67,79,0,8.2,0
Spokane,Washington,99207,19,15,250,1,0,36,0,47,2,89,1900,1,3,1200,36,84,68,1200,0,1,14,12,10,4,2,60,160,0,31,0,0,0,63,50,1100,6,14.18,0
Bellingham,Washington,98229-2700,0,5,3,0,0,0,0,0,0,0,8042,0,0,274,3,26,0,14,0,0,3,3,0,0,24,0,0,43,0,0,0,0,155,0,5,0,3.1,0
Seattle,Washington,98199,0,4,24,0,0,9,0,0,0,84,434,0,0,98,4,114,7,204,6,0,0,0,2,0,57,4,3,0,0,0,0,0,96,0,37,0,9.9,0
Lynden,Washington,98264,415,31,22,0,0,25,30,357,0,616,52,0,3,23,28,78,212,0,0,78,6,12,32,3,4,3,233,9,0,0,0,0,286,153,7,8,14.0,0
Spokane valley,Washington,99212,0,8,67,0,0,0,5,0,0,226,2231,110,201,199,6,50,26,196,0,0,2,16,0,16,19,15,0,5,223,0,0,0,115,57,1039,2,12.0,0
Lynden,Washington,98264,0,0,0,0,0,4,0,0,0,0,136,0,0,30,0,9,0,0,0,0,0,1024,0,0,0,11,324,14,0,0,0,0,103,918,0,0,-4.5,0
Redmond,Washington,98052,0,3,28,0,0,0,0,0,0,2,830,1,1,170,8,18,0,37,0,0,2,3,1,1,0,38,3,31,0,0,0,0,13,42,4,0,3.34,0
SHELTON,Washington,98584,1,2,130,0,0,3300,0,2,0,230,320,6,43,58000,0,2300,680,65,0,1,34,3,28,9,2900,2500,120,170,0,0,0,0,26,61,250,13,19.69,0
Bellingham,Washington,98226,3,11,134,0,0,21,2,0,0,128,870,1142,21,562,18,100,139,541,3,0,3,0,0,3,15,13,14,5,8,0,0,0,1074,62,574,194,9.8,0
Issaquah,Washington,98027,0,1,44,0,0,5,0,0,0,35,57,23,59,84,54,6,2,190,0,0,0,5,4,0,0,85,2,4,0,0,0,0,67,7,44,1,8.0,0
,Washington,98087,2,1,6,0,0,10,0,0,0,20,21,9,7,220,1,9,10,18,0,0,1,0,1,0,1,36,0,2,3,0,0,0,26,5,92,3,3.53,0
Seattle,Washington,98107-2319,5,237,91,0,0,383,0,0,0,104,1658,0,3,157,38,4961,1050,765,8,3,2,0,2,18,7,84,5,9,0,0,0,0,331,566,81,69,15.9,0
Woodinville,Washington,98072-9800,0,17,25,0,0,0,0,0,0,23,589,0,0,27,1822,70,0,14,0,0,0,0,0,0,18,6,17,0,0,0,0,0,445,5,119,0,6.2,0
Issaquah,Washington,98027,0,0,1,0,0,5,0,0,0,16,370,0,34000,7,0,0,0,7,0,0,0,3,0,0,0,66,0,87,0,0,0,0,88,0,0,3,-33498.0,0
Issaquah,Washington,98027,0,0,19,0,0,1,0,3,0,8,2,4,23,24,3,1,0,43,0,0,0,1,0,0,0,13,0,3,0,0,0,0,12,1,13,0,-58.0,0
Issaquah,Washington,98027-5607,0,6,31,0,0,6,0,0,0,29,33,8,17,13,9,3,0,64,0,0,1,8,2,0,0,20,3,1,0,0,0,0,22,2,5,1,-369.0,0
Issaquah,Washington,98027-5609,8,28,440,1,0,5,0,0,0,6,120,39,14,170,6,58,23,390,1,1,5,1,0,0,3,62,8,8,1,0,0,0,170,4,1600,29,-2904.0,0
Appletom,Wisconsin,54913,0,6,9,13,429,28,11,0,0,26,201,18,28,230,15,107,1061,0,0,0,615,2,14,0,40,25,17,14,6,1442,4,133,153,79,5,0,16.3,0
White Lake,Wisconsin,54491,0,5,12,19,106,13,12,0,0,201,762,3,54,218,2,47,83,0,0,0,4,0,5,2,10,61,36,70,0,2362,11,388,1004,24,25,0,9.1,0
,Wisconsin,53142,24,133,1,0,0,17,0,0,0,925,7,7,2,16,11,1339,31,162,6,394,0,2,20,4,2,7,54,6,0,0,0,0,231,15,764,0,11.2,0
Milton,Wisconsin,53563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4567890.0,0
River Falls,Wisconsin,54022-5604,1,1,3,0,0,0,0,0,0,10,0,4,0,0,0,419,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,26.0,0
Greenfield,Wisconsin,53221,0,1,30,29,0,14,4,0,0,99,230,2,36,36,170,180,19,36,0,0,3,0,5,1,1,58,11,28,1,0,0,0,130,1,510,0,10.82,0
Shorewood,Wisconsin,53211,11,16,170,6,0,54,3,220,5,1500,1600,3,320,4200,4,31,88,120,1,0,37,9,8,0,6,1700,83,1200,4,0,0,0,990,10,81,0,19.05,0
Waukesha,Wisconsin,53189-7102,5,16,311,27,0,2,9,0,0,63,3072,22,48,288,26,137,40,136,0,0,4,6,6,0,41,38,38,251,36,0,0,0,5312,38,597,0,10.6,0
Laramie,Wyoming,82072,3,7,149,0,70,0,0,0,0,0,4629,0,15,523,0,149,0,8,3,0,15,9,4,2,11,17,76,151,0,3557,17,14123,2974,33,20,2,2.2,0
Gillette,Wyoming,82718,0,3,82,0,505,4,0,0,102,950,2065,35,0,2162,12,136,11,371,0,0,3,413,466,9,7,23,10,78,0,1101,6,5867,409,1431,384,7,14.9,0
