City,State,Zip,Aspergillus flavus/oryzae,Aspergillus fumigatus,Aspergillus niger,Aspergillus ochraceus,Aspergillus penicillioides,Aspergillus restrictus*,Aspergillus sclerotiorum,Aspergillus sydowii,Aspergillus unguis,Aspergillus versicolor,Aureobasidium pullulans,Chaetomium globosum,Cladosporium sphaerospermum,Eurotium (Asp.) amstelodami*,Paecilomyces variotii,Penicillium brevicompactum,Penicillium corylophilum,Penicillium crustosum*,Penicillium purpurogenum,Penicillium spinulosum*,Penicillium variabile,Scopulariopsis brevicaulis/fusca,Scopulariopsis chartarum,Stachybotrys chartarum,Trichoderma viride*,Wallemia sebi,Acremonium strictum,Alternaria alternata,Aspergillus ustus,Cladosporium cladosporioides 1,Cladosporium cladosporioides 2,Cladosporium herbarum,Epicoccum nigrum,Mucor amphibiorum*,Penicillium chrysogenum,Rhizopus stolonifer,ERMI Score (Group I - Group II),Circulatory_loworreactivebloodpressure
Versailles,Kentucky,40383,4,4,100,5,0,25,10,35,0,110,610,3,390,420,1,2,3,18,0,0,7,3,5,0,0,200,23,290,0,0,0,0,450,7,13,0,9.99,0
Lexington,Kentucky,40511-8790,0,2,49,0,0,0,12,0,0,0,3594,9,23,235,13,296,4,38,0,0,3,10,5,0,2,21,17,114,0,0,0,0,2305,74,73,0,5.3,0
Versailles,Kentucky,40383-1306,0,0,1137,0,0,0,0,0,0,0,47,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7441,0,0,0,0,2694,1,0,0,18040.0,0
Abbeville,Louisiana,70510,0,0,10,2,213,25,24,0,0,0,1649,0,707,860,9,27,0,0,0,0,3,4,3,0,17,57,12,20,0,4734,10,4,3278,51,0,0,9.4,0
Baton Rouge,Louisiana,70809-1789,1,2,130,2,0,5,2,35,0,31,700,14,760,220,80,23,490,7,2,1,32,1,12,2,0,140,49,3,8,0,0,0,80,78,110,13,14.74,0
Baton Rouge,Louisiana,70809,3,1,49,1,0,0,1,49,1,43,84,9,820,260,7,2,2,1,0,0,27,0,1,1,1,34,36,4,1,0,0,0,27,17,7,0,8.86,0
Otisfield,Maine,04270-6827,0,2,38,240,0,350,0,0,0,629,3902,10,67,640,8,179,291,9,0,0,112,28,70,11,19,43,15,12,9,0,0,0,442,36,103,0,22.4,0
Thorndike,Maine,4986,3,2,15,108,0,531,0,0,5,131,19658,2,187,44794,3,1045,383,194,41,4,15,39,8,0,381,17937,195,353,0,0,0,0,1786,194,16,37,25.2,1
Gardiner,Maine,4345,0,2,8,62,0,11,1,1,0,33,180,8,18,66,1,8,9,3,0,0,1,1,3,0,10,82,13,27,0,0,0,0,51,8,18,2,5.77,0
Saco,Maine,04072-3502,16,98,710,0,0,23,0,15,0,20,890,1,440,300,6,4,140,9,13,1,17,1,0,2,7,25,3,98,0,0,0,0,120,10,260,8,14.28,0
Silver Spring,Maryland,20901,0,1,63,0,490000,1,0,110,1,67,6,0,2700,290,0,90,0,2,0,0,4,0,0,0,11,57,0,2,3,51,390,4,1,1,16,3,16.32,0
Rockville,Maryland,20852,0,14,8,15,9900,210,6,2,1,630,160,9,150,1100,0,38,190,63,0,0,17,6,9,1,14,1900,0,51,0,480,24,73,37,58,120,4,21.21,0
towson,Maryland,21204,0,12,850,2,220,0,0,5,0,10,400,3,160,73,1,8,1,6,0,0,15,0,1,1,5,25,270,130,0,1700,11,1800,680,120,17,1,2.24,0
Mt Airy,Maryland,21771-9535,1,8,290,4,140,11,0,0,0,20,190,1,65,480,3,34,7,10,4,0,57,1,3,0,2,330,110,12,0,970,17,890,140,27,12,26,8.38,1
Eldersburg,Maryland,21784-6113,0,8,102,17,112,0,0,0,163,51,1406,179,24,341,0,20,1137,243,0,0,6,2,0,0,0,22,9,40,2344,707,9,276,1887,30,7549,0,7.8,0
Potomac,Maryland,20854-1172,49,30,729,224,0,21,274,50,0,2630,2875,472,119,2514,23,522,132,138,12,5,16,7,59,5,104,366,8,19,310,0,0,0,767,751,606,24,29.9,0
